"{'GjsSzqAWFAU': {'garth_brooks_07-The_Beaches_of_Cheyenne': 0.22276650791432273},",,,,,,match
"Lr8HJ3oW9-8': {'madonna_05-Cry_Baby': 0.3388562325244654},",,,,,,match
"-Vo2vDsFdfw': {'dave_matthews_band_09-Digging_a_Ditch': 0.32402270593892757},",,,,,,NO
"dcGKHNDRHkw': {'tori_amos_06-i_i_e_e_e': 0.15025662521189587},",,,,,,Match
"YNy8VqlPX6Q': {'led_zeppelin_06-Living_Loving_Maid_She_s_Just': 0.30638113665321565},",,,,,,NO
"uQnn0aRTnJc': {'tori_amos_08-She_s_Your_Cocaine': 0.3644727073205224},",,,,,,NO
"SDR9GuT_86w': {'beatles_11-Every_Little_Thing': 0.2090460066860007},",,,,,,Match
"5IYpleg9hJk': {'creedence_clearwater_revival_04-Good_Golly_Miss_Molly': 0.2770931556312537},",,,,,,Match
"C0Mja5SdZEk': {'madonna_11-Act_Of_Contrition': 0.4061475191603545},",,,,,,Match
"7QdxDJxJuAc': {'dave_matthews_band_10-Big_Eyed_Fish': 0.2024213765425742},",,,,,,No
"cOBSJKRrMYw': {'led_zeppelin_06-Living_Loving_Maid_She_s_Just': 0.19923715095680028},",,,,,,No
"U-y6K8X3hYM': {'beatles_10-For_No_One': 0.18552682021030598},",,,,,,Match
"0xoPoN-Etgg': {'tori_amos_13-Ireland': 0.34869394948512256},",,,,,,No
"PWQG3mwH8i8': {'led_zeppelin_01-Good_Times_Bad_Times': 0.2841940866082766},",,,,,,Match
"mF1PkR8uZ2Y': {'beatles_10-For_No_One': 0.19349778266340112},",,,,,,Match
"XENVZRVzQNQ': {'queen_11-Bring_Back_That_Leroy_Brown': 0.2950206221848596},",,,,,,No
"HGV-H-mgK60': {'tori_amos_04-Rasberry_Swirl': 0.30530422469506546},",,,,,,?
"ZSQBxafzkX0': {'prince_07-Blue_Light': 0.3216222177492355},",,,,,,No
"acEXM41m9mM': {'tori_amos_04-Rasberry_Swirl': 0.27752929157741635},",,,,,,No
"5BfB3YRzMwo': {'roxette_05-Little_Girl': 0.2131205649880168},",,,,,,No
IQscAY8-9vg': {'beatles_05-Here_There_And_Everywhere': 0.20260559001480283}},,,,,,No
