,track_artist,matched_artist,score,matched
0,madonna,queen,0.5572887981,FALSE
1,madonna,tori,0.4351004519,FALSE
2,creedence,queen,0.3804602225,FALSE
3,suzanne,tori,0.2269285696,FALSE
4,metallica,queen,0.3822312725,FALSE
5,roxette,tori,0.4037094322,FALSE
6,led,queen,0.3223389649,FALSE
7,aerosmith,queen,0.2521844151,FALSE
8,aerosmith,queen,0.431911661,FALSE
9,aerosmith,dave,0.3873566085,FALSE
10,garth,garth,0.2596147261,TRUE
11,tori,tori,0.2129703545,TRUE
12,green,green,0.422258979,TRUE
13,beatles,garth,0.4692752315,FALSE
14,beatles,beatles,0.271549215,TRUE
15,beatles,garth,0.2881244904,FALSE
16,fleetwood,queen,0.3861568225,FALSE
17,fleetwood,tori,0.2455595749,FALSE
18,radiohead,garth,0.4449682638,FALSE
19,u2,dave,0.2647636607,FALSE
20,cure,queen,0.3818276801,FALSE
